,Date,EUR-RON exchange rate,BET index,,,,
0,2024-05-22,,"17.494,47",,,,
1,2024-05-23,,"17.435,31",,,,
2,2024-05-24,,"17.680,50",,,,
3,2024-05-25,,"17.780,92",,,,
4,2024-05-26,,"17.933,12",,,,
5,2024-05-27,,"17.764,07",,,,
6,2024-05-28,,"17.562,27",,,,
7,2024-05-29,,"17.588,48",,,,
8,2024-05-30,,"17.588,19",,,,
9,2024-05-31,4.9767,"17.699,42",,,,
10,2024-06-01,4.9761,"17.891,78",,,,
11,2024-06-02,4.9752,"18.174,01",,,,
12,2024-06-03,4.9758,"18.076,69",,,,
13,2024-06-04,4.9763,"17.872,46",,,,
14,2024-06-05,4.976,"17.725,07",,,,
15,2024-06-06,4.9765,"17.788,71",,,,
16,2024-06-07,4.9767,"17.861,11",,,,
17,2024-06-08,4.9766,"17.703,59",,,,
18,2024-06-09,4.9772,"17.879,99",,,,
19,2024-06-10,4.9771,"18.020,52",,,,
20,2024-06-11,4.9768,"17.945,67",,,,
21,2024-06-12,4.9766,"18.042,59",,,,
22,2024-06-13,4.9763,,,,,
23,2024-06-14,4.977,,,,,
24,2024-06-15,,,,,,
25,2024-06-16,,,,,,
26,2024-06-17,,,,,,
27,2024-06-18,,,,,,
28,2024-06-19,,,,,,
29,2024-06-20,,,,,,
30,2024-06-21,,,,,,
31,2024-06-22,,,,,,
32,2024-06-23,,,,,,
33,2024-06-24,,,,,,
34,2024-06-25,,,,,,
35,2024-06-26,,,,,,
36,2024-06-27,,,,,,
37,2024-06-28,,,,,,
38,2024-06-29,,,,,,
39,2024-06-30,,,,,,
